p00001,0.506,0.337,0.087,0.177,0.093,0.586,0.446,0.994
p00002,0.695,0.172,0.700,0.751,0.676,0.457,0.281,0.693
p00003,0.161,0.296,0.388,0.189,0.105,0.669,0.882,0.824
p00004,0.064,0.993,0.759,0.452,0.799,0.194,0.104,0.419
p00005,0.579,0.721,0.255,0.370,0.282,0.382,0.347,0.173
p00006,0.525,0.796,0.994,0.910,0.711,0.593,0.651,0.885
p00007,0.529,0.179,0.905,0.159,0.967,0.545,0.574,0.135
p00008,0.879,0.908,0.997,0.412,0.771,0.054,0.596,0.186
p00009,0.045,0.972,0.114,0.953,0.741,0.714,0.791,0.585
p00010,0.384,0.307,0.987,0.364,0.981,0.597,0.054,0.626
p00011,0.193,0.044,0.469,0.575,0.970,0.247,0.787,0.549
p00012,0.032,0.026,0.612,0.743,0.222,0.099,0.989,0.563
p00013,0.459,0.718,0.364,0.852,0.327,0.029,0.426,0.614
p00014,0.000,0.726,0.311,0.501,0.863,0.524,0.142,0.228
p00015,0.686,0.312,0.790,0.496,0.160,0.046,0.692,0.656
p00016,0.705,0.202,0.312,0.990,0.995,0.251,0.395,0.939
p00017,0.357,0.905,0.214,0.242,0.889,0.247,0.294,0.162
p00018,0.645,0.470,0.486,0.041,0.721,0.340,0.105,0.256
p00019,0.361,0.331,0.933,0.477,0.594,0.282,0.801,0.952
p00020,0.599,0.704,0.300,0.359,0.804,0.343,0.998,0.242
p00021,0.380,0.410,0.238,0.851,0.716,0.979,0.435,0.552
p00022,0.681,0.336,0.394,0.040,0.554,0.202,0.104,0.717
p00023,0.671,0.142,0.538,0.007,0.481,0.572,0.974,0.247
p00024,0.128,0.523,0.274,0.755,0.034,0.318,0.350,0.062
p00025,0.252,0.718,0.126,0.298,0.269,0.572,0.945,0.761
p00026,0.955,0.016,0.449,0.288,0.867,0.952,0.937,0.371
p00027,0.081,0.513,0.854,0.732,0.648,0.053,0.031,0.556
p00028,0.612,0.723,0.128,0.766,0.250,0.207,0.255,0.044
p00029,0.578,0.070,0.015,0.029,0.994,0.241,0.092,0.994
p00030,0.772,0.063,0.884,0.048,0.522,0.810,0.093,0.726
p00031,0.735,0.218,0.117,0.851,0.688,0.302,0.602,0.870
p00032,0.033,0.527,0.150,0.997,0.506,0.052,0.192,0.828
p00033,0.322,0.998,0.210,0.537,0.116,0.837,0.318,0.199
p00034,0.949,0.775,0.457,0.785,0.963,0.102,0.295,0.501
p00035,0.001,0.040,0.088,0.687,0.669,0.387,0.978,0.994
p00036,0.250,0.988,0.414,0.616,0.592,0.117,0.193,0.002
p00037,0.421,0.081,0.312,0.255,0.317,0.448,0.628,0.422
p00038,0.843,0.355,0.642,0.958,0.347,0.994,0.846,0.772
p00039,0.780,0.758,0.848,0.123,0.381,0.162,0.338,0.430
p00040,0.260,0.455,0.809,0.266,0.555,0.118,0.249,0.717
p00041,0.994,0.104,0.822,0.486,0.738,0.443,0.826,0.227
p00042,0.633,0.341,0.556,0.453,0.623,0.618,0.568,0.924
p00043,0.873,0.982,0.366,0.588,0.877,0.421,0.615,0.302
p00044,0.468,0.016,0.993,0.326,0.361,0.193,0.007,0.193
p00045,0.022,0.324,0.649,0.093,0.700,0.147,0.515,0.153
p00046,0.250,0.020,0.418,0.645,0.384,0.938,0.591,0.084
p00047,0.217,0.854,0.111,0.759,0.223,0.304,0.245,0.168
p00048,0.072,0.262,0.404,0.375,0.923,0.162,0.972,0.627
p00049,0.243,0.806,0.404,0.130,0.334,0.119,0.912,0.557
p00050,0.644,0.656,0.733,0.139,0.960,0.141,0.650,0.990
p00051,0.096,0.841,0.614,0.198,0.602,0.387,0.243,0.939
p00052,0.149,0.315,0.009,0.753,0.011,0.861,0.103,0.283
p00053,0.280,0.197,0.294,0.574,0.923,0.691,0.600,0.404
p00054,0.305,0.062,0.845,0.125,0.030,0.950,0.355,0.842
p00055,0.705,0.028,0.678,0.204,0.453,0.617,0.008,0.588
p00056,0.110,0.321,0.813,0.571,0.225,0.151,0.675,0.425
p00057,0.244,0.533,0.290,0.889,0.687,0.775,0.289,0.017
p00058,0.526,0.537,0.467,0.702,0.664,0.151,0.627,0.998
p00059,0.071,0.473,0.448,0.254,0.395,0.354,0.557,0.009
p00060,0.440,0.700,0.170,0.206,0.927,0.459,0.547,0.151
p00061,0.261,0.967,0.372,0.129,0.113,0.735,0.512,0.584
p00062,0.378,0.186,0.585,0.661,0.296,0.572,0.903,0.749
p00063,0.467,0.558,0.320,0.002,0.545,0.753,0.018,0.499
p00064,0.718,0.508,0.672,0.876,0.974,0.619,0.795,0.172
p00065,0.429,0.430,0.718,0.328,0.247,0.411,0.702,0.521
p00066,0.309,0.481,0.227,0.826,0.617,0.579,0.908,0.149
p00067,0.904,0.201,0.132,0.828,0.755,0.258,0.906,0.721
p00068,0.380,0.718,0.091,0.836,0.507,0.388,0.871,0.970
p00069,0.936,0.012,0.707,0.820,0.773,0.575,0.915,0.125
